size 	Prob 	l_cl_mean 	l_cl_dvi 	perc_mean 	perc_dvi 
256	3.24000001e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
256	3.77999991e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
256	4.31999981e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
256	4.85999972e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
256	5.49999952e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
256	5.59999943e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
256	5.69999933e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
256	5.79999924e-01	1.50482178e-02	4.52897716e-03	 5.00000000e-02	5.00000000e-02
256	5.89999914e-01	1.04910278e-01	1.98025903e-02	 4.00000000e-01	2.52631579e-01
256	5.99999905e-01	3.00916290e-01	2.76475038e-02	 8.00000000e-01	1.68421053e-01
256	6.09999895e-01	4.77330017e-01	7.09859118e-04	 1.00000000e+00	0.00000000e+00
256	6.19999886e-01	5.25894928e-01	2.87995367e-04	 1.00000000e+00	0.00000000e+00
256	6.29999876e-01	5.61194611e-01	1.03461225e-04	 1.00000000e+00	0.00000000e+00
256	6.39999866e-01	5.87005615e-01	7.63962683e-05	 1.00000000e+00	0.00000000e+00
256	6.49999857e-01	6.09272766e-01	1.95230480e-05	 1.00000000e+00	0.00000000e+00
256	6.94999874e-01	6.79146576e-01	6.76773672e-06	 1.00000000e+00	0.00000000e+00
256	7.29999900e-01	7.21758270e-01	5.21408970e-06	 1.00000000e+00	0.00000000e+00
256	7.64999926e-01	7.60317993e-01	3.33831597e-06	 1.00000000e+00	0.00000000e+00
256	7.99999952e-01	7.97383881e-01	2.75277569e-06	 1.00000000e+00	0.00000000e+00
256	8.34999979e-01	8.33494568e-01	1.81107684e-06	 1.00000000e+00	0.00000000e+00
256	8.70000005e-01	8.69125366e-01	1.50077731e-06	 1.00000000e+00	0.00000000e+00
256	9.05000031e-01	9.04517365e-01	1.24068036e-06	 1.00000000e+00	0.00000000e+00
256	9.40000057e-01	9.39648438e-01	1.07262872e-06	 1.00000000e+00	0.00000000e+00
256	9.75000083e-01	9.74900818e-01	4.50218489e-07	 1.00000000e+00	0.00000000e+00
512	5.40000014e-02	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	1.08000003e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	1.62000000e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	2.16000006e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	2.70000011e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	3.24000001e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	3.77999991e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	4.31999981e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	4.85999972e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	5.49999952e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	5.59999943e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	5.69999933e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	5.79999924e-01	0.00000000e+00	0.00000000e+00	 0.00000000e+00	0.00000000e+00
512	5.89999914e-01	9.86124039e-02	1.21792846e-02	 5.00000000e-01	2.63157895e-01
512	5.99999905e-01	3.81619453e-01	4.18458633e-03	 1.00000000e+00	0.00000000e+00
512	6.09999895e-01	4.99468994e-01	1.11424432e-04	 1.00000000e+00	0.00000000e+00
512	6.19999886e-01	5.41766548e-01	4.16610783e-05	 1.00000000e+00	0.00000000e+00
512	6.29999876e-01	5.71463203e-01	2.70496075e-05	 1.00000000e+00	0.00000000e+00
512	6.39999866e-01	5.94799042e-01	1.82982323e-05	 1.00000000e+00	0.00000000e+00
512	6.49999857e-01	6.14502144e-01	8.11436311e-06	 1.00000000e+00	0.00000000e+00
512	6.94999874e-01	6.80595779e-01	2.47027477e-06	 1.00000000e+00	0.00000000e+00
512	7.29999900e-01	7.22679710e-01	1.52603373e-06	 1.00000000e+00	0.00000000e+00
512	7.64999926e-01	7.61106491e-01	1.43667919e-06	 1.00000000e+00	0.00000000e+00
512	7.99999952e-01	7.97954941e-01	8.81066233e-07	 1.00000000e+00	0.00000000e+00
512	8.34999979e-01	8.33958244e-01	7.19373585e-07	 1.00000000e+00	0.00000000e+00
512	8.70000005e-01	8.69430733e-01	7.21329975e-07	 1.00000000e+00	0.00000000e+00
512	9.05000031e-01	9.04625511e-01	4.18637577e-07	 1.00000000e+00	0.00000000e+00
512	9.40000057e-01	9.39681244e-01	2.41162917e-07	 1.00000000e+00	0.00000000e+00
512	9.75000083e-01	9.74950600e-01	9.98927326e-08	 1.00000000e+00	0.00000000e+00
